N,P,K,temperature,humidity,ph,rainfall,label
25,133,200,22.440415,90.032953,5.736705,100.117344,apple
2,130,200,22.705004,94.920481,5.671411,124.983162,apple
1,126,200,23.260548,93.804382,5.670047,117.262555,apple
27,126,200,23.599973,90.975977,6.110219,116.703658,apple
6,124,200,22.982081,93.84505,5.971332,109.585225,apple
31,123,200,21.582147,94.920481,5.722988,106.904164,apple
17,122,200,23.028095,91.249668,5.987677,114.916752,apple
30,121,200,23.229814,90.606545,5.720023,110.963811,apple
36,121,200,23.048837,93.765095,5.730342,116.943637,apple
18,120,200,21.452787,90.745319,6.110219,116.703658,apple
27,120,200,21.452787,90.745319,6.110219,116.703658,apple
6,144,199,23.298745,93.456528,6.004716,114.03547,apple
28,144,199,23.996862,90.057529,5.811946,102.136404,apple
3,143,199,23.768816,91.127193,5.798351,115.478915,apple
30,143,199,22.562054,94.920481,5.807535,118.127908,apple
30,143,199,23.768816,90.598103,5.798351,102.264855,apple
9,139,199,21.911913,94.541283,6.499227,105.355841,apple
9,139,199,23.252308,94.541283,5.867421,105.355841,apple
9,139,199,22.60801,94.589006,5.867421,105.355841,apple
8,137,199,21.268541,90.607955,5.612771,102.618125,apple
37,137,199,22.642434,90.025751,5.728653,110.066631,apple
37,137,199,22.639464,90.184516,5.697946,108.340588,apple
0,133,199,23.75115,93.302371,5.769078,106.086101,apple
15,133,199,23.996862,91.610017,5.824779,117.610292,apple
21,133,199,23.959715,90.139767,5.593056,120.62241,apple
16,132,199,23.908922,91.623381,5.789257,117.380476,apple
2,131,199,22.474205,91.227597,6.01737,124.21797,apple
2,131,199,22.483854,91.325935,6.006879,124.153058,apple
31,130,199,21.777596,93.13301,6.244864,100.117344,apple
22,128,199,23.438246,90.746253,5.568752,115.757803,apple
1,124,199,23.710591,93.273924,5.658474,112.667659,apple
1,124,199,23.710591,94.896134,5.658474,112.667659,apple
15,123,199,22.265679,93.889976,6.286623,118.806876,apple
33,123,199,23.331626,90.592326,5.678451,109.321734,apple
14,122,199,22.329578,93.138922,6.41374,118.330377,apple
28,122,199,21.735136,91.536563,5.83192,108.85283,apple
25,121,199,22.176611,90.025751,6.178292,113.696337,apple
2,120,199,23.27207,91.589276,5.857509,107.136056,apple
5,145,198,21.148236,90.45416,5.537608,104.045578,apple
6,144,198,21.114787,90.315287,5.559364,104.508662,apple
7,144,198,23.343864,93.58066,5.856481,104.426799,apple
13,144,198,23.000545,94.175912,6.284241,104.353682,apple
25,143,198,22.812125,91.518617,6.027314,107.855225,apple
34,141,198,21.036528,91.443165,5.909458,122.802387,apple
24,140,198,22.761478,91.092702,5.898371,101.779351,apple
30,140,198,23.768816,90.598103,5.798351,104.426799,apple
33,140,198,22.005255,93.053343,5.721984,115.421443,apple
34,140,198,21.70417,93.440063,5.751707,115.17814,apple
35,140,198,23.342274,90.904149,6.260555,105.374109,apple
36,140,198,23.343864,91.476847,6.281884,104.426799,apple
36,140,198,23.087495,91.396922,6.2089,104.337998,apple
36,140,198,22.990715,91.366749,6.181349,104.304475,apple
10,138,198,21.424903,91.454576,6.258497,108.408079,apple
29,138,198,22.433245,92.486677,6.222391,119.102519,apple
33,138,198,22.294235,90.69034,6.222391,122.741874,apple
7,137,198,23.996862,92.41668,5.639866,102.72872,apple
8,137,198,21.50129,91.067942,5.829689,104.329705,apple
28,137,198,23.263995,91.891993,6.006729,115.43888,apple
20,135,198,23.796861,93.536472,5.757789,103.41815,apple
21,135,198,23.860871,94.920481,5.765015,105.024133,apple
30,135,198,22.239335,93.911735,6.370953,119.562003,apple
40,135,198,23.860871,92.488795,5.765015,119.633555,apple
2,134,198,23.080735,91.136727,5.958385,105.821905,apple
3,132,198,21.981419,90.851744,6.142803,115.478915,apple
25,132,198,22.319441,90.851744,5.732758,100.117344,apple
27,132,198,22.319441,93.901911,5.952368,105.400475,apple
31,130,198,21.801298,92.734467,5.554824,120.058667,apple
31,130,198,21.801298,92.734467,5.554824,120.058667,apple
32,130,198,21.849939,93.407135,5.536902,120.536261,apple
24,129,198,22.994802,90.434803,5.528428,109.330516,apple
34,129,198,21.632255,94.812732,5.974957,100.117344,apple
29,128,198,22.44075,92.707851,5.685062,121.497733,apple
31,128,198,21.801298,92.734467,5.554824,121.497733,apple
29,127,198,22.616641,92.947332,6.179119,115.435978,apple
30,127,198,22.405465,92.420715,5.632665,122.002185,apple
26,126,198,21.577419,93.169562,5.892391,115.711745,apple
34,126,198,21.70417,92.991245,5.751707,118.397906,apple
28,124,198,23.387521,91.376289,5.665737,111.634497,apple
36,124,198,23.343864,93.273924,5.658474,104.426799,apple
8,123,198,21.733937,90.025751,6.131219,117.783603,apple
28,123,198,23.462603,91.45665,5.682751,111.77634,apple
29,123,198,22.859406,91.822311,5.651066,110.14603,apple
30,122,198,21.766685,92.201321,5.607819,107.140223,apple
40,122,198,23.915997,92.748229,5.907766,121.087336,apple
28,120,198,22.023229,92.206831,6.097663,119.521303,apple
28,120,198,21.422008,90.562877,6.13129,117.256685,apple
5,144,197,21.58821,90.355974,5.591991,106.101605,apple
7,144,197,23.849401,94.34815,6.133221,114.05125,apple
9,144,197,23.750331,92.881605,5.570021,117.660283,apple
12,144,197,22.669829,94.257878,6.179784,105.528978,apple
13,144,197,22.921571,94.896134,6.280223,105.694154,apple
8,143,197,23.935748,93.741175,5.615147,117.573634,apple
9,143,197,23.750331,92.881605,5.570021,117.660283,apple
11,143,197,22.984589,93.320449,5.875719,122.195248,apple
11,143,197,23.417746,93.068903,5.668047,117.444684,apple
16,143,197,23.101518,94.920481,5.762931,117.813906,apple
16,143,197,22.617116,93.519784,5.904026,116.925677,apple
21,143,197,21.90154,91.513149,6.485187,119.034172,apple
26,143,197,22.588643,92.051948,6.007988,106.47656,apple
3,142,197,22.31528,90.819226,5.926719,112.925218,apple
11,142,197,23.579333,92.030629,5.785329,115.674813,apple
35,142,197,22.882641,94.08465,6.202658,115.288869,apple
39,142,197,22.693687,91.622917,5.898959,107.429307,apple
3,141,197,21.981419,91.127193,6.142803,115.478915,apple
3,141,197,23.410447,91.699133,5.587906,115.478915,apple
8,141,197,23.133118,94.144307,5.8629,105.063037,apple
2,140,197,22.697801,92.822234,5.534567,105.050823,apple
3,140,197,22.692784,92.521178,5.545682,106.178743,apple
10,140,197,22.169395,90.271856,6.229499,124.468311,apple
10,140,197,22.229474,90.496535,6.203426,124.300788,apple
10,140,197,22.169395,90.271856,6.229499,107.172819,apple
14,140,197,23.61192,90.900547,5.812782,123.590082,apple
14,140,197,23.323707,91.002247,6.064762,113.189083,apple
14,140,197,23.352251,90.900547,6.071255,113.038138,apple
22,140,197,22.169395,90.271856,6.499227,117.076128,apple
35,140,197,22.697801,90.808194,5.671306,105.050823,apple
14,139,197,21.724845,92.839756,6.05653,121.696176,apple
29,138,197,22.190554,92.437642,5.830892,121.662276,apple
34,138,197,21.662266,94.216612,5.775038,114.514093,apple
31,136,197,22.104624,93.83197,6.351863,120.384292,apple
34,136,197,21.08792,90.025751,5.669585,105.037708,apple
24,132,197,22.412452,91.088392,5.741323,101.012392,apple
27,131,197,22.232385,94.116171,6.068914,113.634308,apple
6,125,197,22.940893,91.491161,5.698159,112.888515,apple
15,123,197,21.377847,92.720437,5.573241,106.141702,apple
26,123,197,21.947546,90.348916,6.138687,111.464761,apple
26,122,197,22.44517,94.737635,5.617227,117.660283,apple
29,122,197,22.112327,92.275193,5.611823,108.12684,apple
30,122,197,21.377847,92.720437,5.573241,106.141702,apple
14,121,197,22.456967,94.762854,5.605934,113.038138,apple
29,120,197,22.745481,94.410512,6.120277,122.799756,apple
40,120,197,22.963885,92.488795,5.889481,119.633555,apple
40,120,197,23.805938,92.488795,5.889481,119.633555,apple
8,144,196,21.119993,90.025751,5.57615,104.690082,apple
10,144,196,22.941685,94.270797,6.078789,105.19651,apple
11,144,196,22.933249,94.533065,6.16327,105.405223,apple
22,144,196,21.911913,91.687481,6.499227,117.076128,apple
26,144,196,23.651676,90.025751,6.162034,115.361127,apple
31,144,196,22.144641,94.34815,6.133221,120.631078,apple
36,144,196,23.651676,94.505288,6.496934,115.361127,apple
40,144,196,22.717507,92.254799,5.987263,107.028987,apple
2,143,196,22.712713,90.452617,5.669489,109.88526,apple
22,143,196,21.547918,91.474883,6.499227,115.377757,apple
25,143,196,22.712713,90.452617,5.732758,109.88526,apple
6,142,196,22.993569,93.581865,5.872915,108.468307,apple
40,142,196,22.485754,92.012228,5.967283,107.365859,apple
13,141,196,23.881246,93.505742,6.443383,120.159377,apple
28,140,196,23.578646,90.765997,5.543816,116.4299,apple
1,139,196,22.852135,93.037025,5.553907,105.908465,apple
14,139,196,22.750888,92.839756,6.05653,121.696176,apple
14,139,196,21.724845,92.839756,5.730557,113.068816,apple
4,138,196,22.490857,92.277701,5.976697,106.698379,apple
31,138,196,22.085333,92.405132,6.415311,121.582277,apple
18,137,196,23.557543,92.060118,5.900136,106.623598,apple
21,137,196,23.61192,91.702938,5.812782,123.590082,apple
22,137,196,23.27027,91.702935,5.807663,123.834342,apple
31,137,196,22.144641,93.825674,6.400321,120.631078,apple
34,137,196,22.144641,93.825674,6.400321,120.631078,apple
3,136,196,22.444482,92.635217,6.226536,106.969883,apple
17,136,196,23.871923,90.49939,5.882156,103.054809,apple
5,135,196,22.178409,91.966045,6.311052,106.330775,apple
15,133,196,22.144641,91.610017,6.400321,120.631078,apple
28,130,196,22.134506,94.676957,6.062356,112.920322,apple
23,129,196,22.802385,90.737439,5.51448,110.007534,apple
24,128,196,22.750888,90.694892,5.521467,110.431786,apple
24,128,196,21.57594,93.365805,5.899728,102.164309,apple
24,127,196,22.531538,91.390986,5.514253,110.905419,apple
25,127,196,22.924636,90.880856,5.560841,110.760025,apple
6,126,196,23.640587,93.592525,5.985967,111.811441,apple
37,126,196,23.599973,90.975977,5.596449,107.172819,apple
10,125,196,22.312537,90.035771,5.730557,113.068816,apple
27,125,196,21.279087,93.027777,5.888737,120.184151,apple
1,124,196,23.710591,93.273924,5.669489,112.667659,apple
19,122,196,23.344674,92.254799,5.811975,107.028987,apple
13,121,196,22.20701,93.505742,6.443383,120.159377,apple
13,121,196,21.413638,92.991245,5.878569,120.159377,apple
29,121,196,22.848528,94.321302,6.079497,123.597784,apple
6,145,195,21.036528,90.025751,5.717384,100.704266,apple
7,145,195,23.742235,94.301592,6.311197,115.470957,apple
14,145,195,22.96362,90.025751,6.13698,114.414407,apple
30,145,195,23.939516,90.025751,5.614057,102.454926,apple
35,145,195,21.644868,91.874782,6.046292,115.055959,apple
35,145,195,22.039115,94.580758,6.23195,110.980401,apple
36,145,195,22.130878,94.920481,6.236533,112.524189,apple
0,144,195,22.815275,91.482907,5.699741,105.6809,apple
7,144,195,23.651676,93.58066,5.856481,115.361127,apple
7,144,195,22.963885,93.58066,5.856481,104.647299,apple
33,144,195,22.930524,93.693266,6.499227,106.14821,apple
2,143,195,22.648886,91.522761,5.718742,106.109796,apple
36,143,195,21.036528,91.840967,5.809433,106.099218,apple
37,143,195,22.331321,94.920481,6.201965,112.518421,apple
8,142,195,23.996862,93.747625,5.534563,106.563502,apple
8,142,195,23.962321,93.122859,5.514253,105.364272,apple
10,142,195,22.289265,90.181464,6.252608,124.983162,apple
7,141,195,23.80446,93.583826,5.557371,104.965895,apple
7,141,195,23.881246,93.450676,5.514253,104.911666,apple
40,141,195,22.078833,90.025751,5.842454,106.34366,apple
29,140,195,23.64083,90.952579,5.560521,116.743132,apple
29,140,195,22.44075,90.952579,5.560521,116.743132,apple
3,139,195,22.535951,90.025751,6.376665,117.350518,apple
14,139,195,23.874301,92.799339,5.948032,116.317889,apple
23,139,195,22.381044,91.305314,5.866585,124.983162,apple
29,139,195,22.092043,92.181767,5.842627,119.94111,apple
34,139,195,21.656646,93.961821,5.778925,114.824478,apple
0,138,195,23.996862,90.025751,5.875224,100.679068,apple
2,138,195,22.03582,90.025751,5.514253,111.303594,apple
23,138,195,22.490951,91.702927,5.795986,124.39151,apple
36,138,195,23.025339,90.025751,5.558127,110.526658,apple
40,138,195,22.490951,92.488795,5.889481,119.633555,apple
10,137,195,22.347166,90.825279,6.124553,121.556862,apple
23,137,195,23.366453,91.992646,5.793444,119.602122,apple
5,136,195,22.356287,91.923605,6.264203,107.769741,apple
10,136,195,21.198522,92.155951,5.514253,104.911666,apple
14,135,195,22.475833,90.83154,5.969197,124.09921,apple
14,134,195,21.093241,93.031886,6.065726,122.426812,apple
21,127,195,22.571596,90.03389,5.514253,108.76905,apple
25,126,195,21.355483,93.588667,5.873049,121.420256,apple
26,126,195,22.027754,92.991245,5.878569,121.134918,apple
26,126,195,21.575629,92.94655,5.84805,118.886796,apple
26,126,195,21.413638,92.991245,5.878569,118.397906,apple
28,126,195,21.525314,94.079491,5.87955,117.201544,apple
37,126,195,23.99245,90.855999,5.592281,106.235165,apple
14,122,195,22.217478,93.22532,6.481086,120.567097,apple
29,122,195,22.349,93.797948,5.882939,119.391635,apple
29,120,195,21.036528,93.741931,5.775883,107.718914,apple
30,120,195,23.037733,92.203989,5.948128,123.798396,apple
92,95,55,26.005175,79.00937,5.903296,93.745045,banana
114,94,55,26.539342,77.211742,6.192435,116.510801,banana
90,92,55,27.009321,80.185468,6.134656,97.325317,banana
90,92,55,27.009321,80.185468,6.134656,90.451429,banana
116,92,55,27.009321,83.699504,6.134656,95.123221,banana
89,91,55,25.083474,80.261731,6.275572,94.329615,banana
89,91,55,25.272373,80.448905,6.294565,93.635321,banana
90,91,55,25.083474,80.185468,6.134656,94.329615,banana
91,91,55,25.098927,80.854708,6.218446,94.484888,banana
94,91,55,26.423133,83.699504,5.618094,95.123221,banana
90,90,55,25.19935,81.45747,6.144395,96.864784,banana
108,90,55,27.209648,83.357011,6.268286,103.703902,banana
108,89,55,26.358985,83.562954,5.85963,116.264988,banana
105,88,55,26.28846,78.762609,5.760458,113.87298,banana
108,88,55,26.28846,78.523999,5.891458,116.301956,banana
108,88,55,26.28846,83.390039,5.891458,113.87298,banana
110,88,55,29.17344,78.40574,5.555409,96.850127,banana
111,88,55,29.447954,78.349715,5.505394,96.450426,banana
89,87,55,26.010354,78.058289,6.275463,92.814858,banana
107,87,55,26.320132,83.756524,5.844673,111.436501,banana
88,86,55,26.664566,77.354123,6.261162,94.269804,banana
89,86,55,26.356121,77.236308,6.275422,92.249786,banana
90,86,55,28.227767,80.643038,5.758054,97.559867,banana
90,86,55,27.962368,84.154036,5.644487,97.559867,banana
92,86,55,28.070165,83.797675,5.626451,98.010956,banana
89,85,55,26.671984,76.485417,6.275385,91.733586,banana
87,84,55,27.253684,84.978492,5.856829,97.738523,banana
90,84,55,28.032369,83.313089,5.636148,96.123931,banana
84,81,55,25.15933,84.119379,5.583825,97.736399,banana
116,81,55,26.415537,83.624436,5.915547,95.171604,banana
116,81,55,26.423133,83.699504,5.915546,95.123221,banana
116,81,55,26.671984,83.699504,6.275385,91.733586,banana
117,81,55,29.523335,78.45379,5.505394,97.116905,banana
101,80,55,26.825461,80.376257,5.803307,113.860855,banana
104,80,55,27.126209,82.144642,5.85224,111.461843,banana
104,80,55,26.885844,80.544869,5.902107,111.380634,banana
116,80,55,26.324006,83.880966,5.936207,98.322057,banana
83,79,55,25.14748,83.346882,5.565029,98.666794,banana
82,77,55,26.477755,80.40631,5.998318,94.726534,banana
82,75,55,27.345851,78.487383,6.28107,92.155243,banana
82,75,55,27.31316,79.008154,6.306109,91.51014,banana
90,75,55,27.612401,76.728537,6.19224,109.397416,banana
91,75,55,27.48613,76.112398,6.212369,109.276885,banana
118,75,55,25.757749,84.978492,6.142331,113.583157,banana
83,74,55,27.558037,79.791105,6.260453,90.949576,banana
118,73,55,25.010185,84.978492,6.004661,116.010489,banana
114,72,55,27.303937,83.5802,6.169876,114.050311,banana
119,72,55,25.990695,83.339831,6.220644,112.077715,banana
119,72,55,25.990695,83.339831,6.211833,112.077715,banana
104,71,55,29.420179,81.335069,5.879119,110.133118,banana
107,71,55,29.420179,83.967545,6.088064,117.229079,banana
114,71,55,25.94231,81.436854,6.030937,113.746925,banana
106,70,55,25.868248,78.523999,5.740555,116.301956,banana
106,70,55,26.045316,78.858684,5.767725,114.722321,banana
119,70,55,26.519939,84.546441,6.44455,110.144548,banana
120,70,55,26.741835,80.429965,6.271995,112.920643,banana
94,95,54,25.752185,84.978492,6.058009,115.750997,banana
105,93,54,28.672089,78.762609,5.725419,94.379875,banana
90,91,54,25.010185,81.056903,6.29944,93.601893,banana
112,91,54,28.283977,78.969516,5.508849,96.277975,banana
